antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level
PGK3,Ovarian Cancer,2.15,5.05,0.814,0.699,0.155,0.619,32,0,computationally_derived,CARVanta-Computed,computational
PGK3,Gastric Cancer,0.69,0.88,0.755,0.672,0.358,0.512,4,0,computationally_derived,CARVanta-Computed,computational
PGK3,Colorectal Cancer,2.64,0.56,0.93,0.74,0.582,0.587,3,1,computationally_derived,CARVanta-Computed,computational
PGK3,Melanoma,3.49,1.55,0.782,0.882,0.305,0.705,0,0,computationally_derived,CARVanta-Computed,computational
PGK4,Liver Cancer,4.24,1.39,0.816,0.814,0.457,0.391,0,1,computationally_derived,CARVanta-Computed,computational
PGK4,Prostate Cancer,2.57,0.75,0.865,0.502,0.53,0.326,0,0,computationally_derived,CARVanta-Computed,computational
PGK4,Colorectal Cancer,4.45,2.07,0.839,0.694,0.728,0.408,0,0,computationally_derived,CARVanta-Computed,computational
PGK4,Bladder Cancer,6.51,1.74,0.901,0.837,0.541,0.445,0,1,computationally_derived,CARVanta-Computed,computational
PGK4,Glioblastoma,4.31,2.93,0.742,0.753,0.415,0.496,0,0,computationally_derived,CARVanta-Computed,computational
PGK4,Ovarian Cancer,4.67,0.25,0.851,0.473,0.559,0.4,0,0,computationally_derived,CARVanta-Computed,computational
PGK5,Liver Cancer,5.28,3.18,0.775,0.567,0.262,0.358,0,0,computationally_derived,CARVanta-Computed,computational
PGK5,Glioblastoma,4.62,1.48,0.554,0.383,0.347,0.471,0,0,computationally_derived,CARVanta-Computed,computational
PGK5,Lymphoma,3.89,0.43,0.743,0.517,0.626,0.554,0,0,computationally_derived,CARVanta-Computed,computational
PGK5,Breast Cancer,2.71,0.64,0.883,0.609,0.509,0.495,1,1,computationally_derived,CARVanta-Computed,computational
PGK5,Prostate Cancer,7.74,0.81,0.755,0.726,0.478,0.482,34,1,computationally_derived,CARVanta-Computed,computational
PGK5,Thyroid Cancer,8.84,0.61,0.917,0.823,0.565,0.434,0,1,computationally_derived,CARVanta-Computed,computational
PGK6,Thyroid Cancer,3.89,3.23,0.845,0.618,0.359,0.595,4,0,computationally_derived,CARVanta-Computed,computational
PGK6,Melanoma,3.66,1.75,0.901,0.198,0.446,0.403,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Lymphoma,4.26,1.5,0.888,0.412,0.357,0.569,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Pancreatic Cancer,4.47,3.57,0.883,0.772,0.337,0.378,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Prostate Cancer,3.64,2.28,0.968,0.923,0.417,0.518,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Renal Cancer,3.55,0.91,0.669,0.504,0.607,0.28,1,0,computationally_derived,CARVanta-Computed,computational
PGK6,Breast Cancer,1.45,0.51,0.947,0.521,0.28,0.575,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Glioblastoma,4.81,2.37,0.95,0.404,0.349,0.578,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Colorectal Cancer,2.37,1.55,0.811,0.445,0.542,0.36,0,0,computationally_derived,CARVanta-Computed,computational
PGK6,Liver Cancer,4.79,0.95,0.887,0.674,0.925,0.673,0,1,computationally_derived,CARVanta-Computed,computational
PGK7,Bladder Cancer,8.11,1.43,0.898,0.883,0.612,0.571,0,1,computationally_derived,CARVanta-Computed,computational
PGK7,Ovarian Cancer,1.74,4.76,0.768,0.579,0.623,0.542,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Colorectal Cancer,4.24,0.88,0.888,0.194,0.613,0.544,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Endometrial Cancer,3.44,1.97,0.929,0.475,0.403,0.27,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Leukemia,1.22,0.86,0.526,0.893,0.257,0.519,5,0,computationally_derived,CARVanta-Computed,computational
PGK7,Renal Cancer,1.44,0.76,0.85,0.451,0.268,0.257,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Head & Neck Cancer,3.79,1.94,0.837,0.601,0.442,0.376,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Liver Cancer,4.55,2.17,0.563,0.323,0.495,0.243,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Gastric Cancer,3.71,1.51,0.849,0.42,0.745,0.535,0,0,computationally_derived,CARVanta-Computed,computational
PGK7,Myeloma,1.84,4.51,0.76,0.58,0.116,0.526,0,0,computationally_derived,CARVanta-Computed,computational
PGK8,Thyroid Cancer,3.3,1.16,0.817,0.735,0.425,0.656,0,1,computationally_derived,CARVanta-Computed,computational
PGK8,Gastric Cancer,4.97,0.81,0.803,0.793,0.462,0.363,0,1,computationally_derived,CARVanta-Computed,computational
PGK8,Ovarian Cancer,2.33,5.15,0.667,0.593,0.315,0.633,0,0,computationally_derived,CARVanta-Computed,computational
PGK8,Lymphoma,5.78,3.14,0.944,0.761,0.537,0.43,0,0,computationally_derived,CARVanta-Computed,computational
PGK8,Lung Adenocarcinoma,8.74,1.76,0.776,0.367,0.604,0.404,0,0,computationally_derived,CARVanta-Computed,computational
PGK9,Lymphoma,3.43,0.36,0.954,0.59,0.86,0.451,1,0,computationally_derived,CARVanta-Computed,computational
PGK9,Lung Adenocarcinoma,3.61,1.89,0.887,0.696,0.672,0.696,0,0,computationally_derived,CARVanta-Computed,computational
PGK9,Colorectal Cancer,3.84,1.27,0.916,0.435,0.577,0.657,2,0,computationally_derived,CARVanta-Computed,computational
PGK9,Renal Cancer,1.89,2.85,0.706,0.537,0.336,0.557,0,0,computationally_derived,CARVanta-Computed,computational
PGK9,Prostate Cancer,3.57,2.8,0.792,0.557,0.488,0.6,0,0,computationally_derived,CARVanta-Computed,computational
PIK31,Lung Adenocarcinoma,6.83,0.8,0.945,0.622,0.719,0.653,0,1,computationally_derived,CARVanta-Computed,computational
PIK31,Myeloma,3.81,0.8,0.985,0.807,0.925,0.645,0,1,computationally_derived,CARVanta-Computed,computational
PIK31,Ovarian Cancer,1.81,1.87,0.746,0.84,0.645,0.482,5,0,computationally_derived,CARVanta-Computed,computational
PIK31,Lymphoma,3.92,1.76,0.937,0.727,0.612,0.311,5,0,computationally_derived,CARVanta-Computed,computational
PIK31,Prostate Cancer,2.02,0.93,0.916,0.826,0.58,0.539,0,0,computationally_derived,CARVanta-Computed,computational
PIK310,Thyroid Cancer,10.62,0.41,0.899,0.764,0.755,0.425,0,1,computationally_derived,CARVanta-Computed,computational
PIK310,Head & Neck Cancer,1.82,0.83,0.719,0.589,0.562,0.394,0,0,computationally_derived,CARVanta-Computed,computational
PIK310,Colorectal Cancer,1.74,1.87,0.909,0.533,0.306,0.427,0,0,computationally_derived,CARVanta-Computed,computational
PIK310,Gastric Cancer,3.5,0.72,0.637,0.724,0.554,0.581,0,0,computationally_derived,CARVanta-Computed,computational
PIK310,Lymphoma,3.85,2.03,0.841,0.587,0.612,0.241,0,0,computationally_derived,CARVanta-Computed,computational
PIK310,Liver Cancer,5.66,0.68,0.951,0.463,0.648,0.306,0,0,computationally_derived,CARVanta-Computed,computational
PIK311,Myeloma,5.16,0.79,0.702,0.71,0.854,0.594,0,0,computationally_derived,CARVanta-Computed,computational
PIK311,Colorectal Cancer,4.85,1.66,0.718,0.479,0.623,0.446,0,0,computationally_derived,CARVanta-Computed,computational
PIK311,Ovarian Cancer,2.0,2.8,0.887,0.693,0.169,0.552,0,0,computationally_derived,CARVanta-Computed,computational
PIK311,Pancreatic Cancer,8.25,0.49,0.491,0.436,0.717,0.479,0,0,computationally_derived,CARVanta-Computed,computational
PIK311,Glioblastoma,1.14,0.96,0.857,0.546,0.189,0.486,0,0,computationally_derived,CARVanta-Computed,computational
PIK312,Pancreatic Cancer,3.51,2.83,0.569,0.537,0.118,0.333,0,0,computationally_derived,CARVanta-Computed,computational
PIK312,Thyroid Cancer,3.78,2.4,0.975,0.659,0.421,0.374,3,0,computationally_derived,CARVanta-Computed,computational
PIK312,Bladder Cancer,8.45,1.72,0.733,0.525,0.579,0.437,1,0,computationally_derived,CARVanta-Computed,computational
PIK312,Endometrial Cancer,3.41,1.09,0.857,0.47,0.552,0.303,2,0,computationally_derived,CARVanta-Computed,computational
PIK312,Leukemia,2.56,2.07,0.807,0.71,0.267,0.454,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Bladder Cancer,0.92,0.52,0.668,0.718,0.478,0.675,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Thyroid Cancer,2.18,4.67,0.941,0.619,0.28,0.803,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Breast Cancer,0.94,3.79,0.934,0.302,0.415,0.549,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Prostate Cancer,1.87,1.7,0.796,0.576,0.282,0.686,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Melanoma,1.03,2.19,0.768,0.622,0.154,0.491,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Pancreatic Cancer,5.88,4.01,0.824,0.886,0.299,0.363,0,0,computationally_derived,CARVanta-Computed,computational
PIK313,Glioblastoma,2.1,1.34,0.91,0.583,0.348,0.31,2,0,computationally_derived,CARVanta-Computed,computational
PIK313,Liver Cancer,1.94,3.23,0.622,0.558,0.554,0.613,0,0,computationally_derived,CARVanta-Computed,computational
PIK32,Renal Cancer,4.16,2.23,0.836,0.494,0.64,0.222,0,0,computationally_derived,CARVanta-Computed,computational
PIK32,Liver Cancer,9.17,1.24,0.887,0.565,0.945,0.515,0,0,computationally_derived,CARVanta-Computed,computational
PIK32,Pancreatic Cancer,3.64,3.31,0.737,0.549,0.184,0.452,0,0,computationally_derived,CARVanta-Computed,computational
PIK32,Leukemia,1.65,0.63,0.867,0.831,0.434,0.564,0,1,computationally_derived,CARVanta-Computed,computational
PIK32,Ovarian Cancer,4.85,0.54,0.948,0.606,0.74,0.5,0,1,computationally_derived,CARVanta-Computed,computational
PIK32,Lymphoma,8.72,0.73,0.769,0.597,0.883,0.511,9,0,computationally_derived,CARVanta-Computed,computational
PIK32,Gastric Cancer,4.41,4.52,0.932,0.684,0.168,0.341,5,0,computationally_derived,CARVanta-Computed,computational
PIK32,Thyroid Cancer,4.25,0.78,0.794,0.677,0.747,0.757,0,1,computationally_derived,CARVanta-Computed,computational
PIK32,Lung Adenocarcinoma,11.09,2.13,0.974,0.303,0.832,0.347,1,0,computationally_derived,CARVanta-Computed,computational
PIK32,Endometrial Cancer,2.66,1.51,0.676,0.48,0.358,0.54,3,0,computationally_derived,CARVanta-Computed,computational
PIK33,Endometrial Cancer,1.66,4.99,0.867,0.743,0.367,0.611,0,0,computationally_derived,CARVanta-Computed,computational
PIK33,Leukemia,6.95,1.86,0.847,0.642,0.746,0.221,0,0,computationally_derived,CARVanta-Computed,computational
PIK33,Glioblastoma,1.31,2.4,0.634,0.761,0.056,0.495,8,0,computationally_derived,CARVanta-Computed,computational
PIK33,Lymphoma,1.62,1.09,0.902,0.652,0.277,0.482,0,0,computationally_derived,CARVanta-Computed,computational
PIK33,Head & Neck Cancer,5.71,1.17,0.881,0.655,0.744,0.465,3,1,computationally_derived,CARVanta-Computed,computational
PIK33,Prostate Cancer,2.56,1.32,0.685,0.525,0.285,0.547,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Glioblastoma,2.77,6.18,0.939,0.691,0.312,0.491,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Liver Cancer,3.22,2.31,0.86,0.887,0.407,0.307,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Leukemia,5.94,1.7,0.831,0.598,0.72,0.683,4,0,computationally_derived,CARVanta-Computed,computational
PIK34,Endometrial Cancer,2.91,2.06,0.855,0.608,0.184,0.572,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Gastric Cancer,8.05,0.84,0.563,0.762,0.738,0.593,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Prostate Cancer,2.4,0.68,0.787,0.541,0.565,0.57,4,0,computationally_derived,CARVanta-Computed,computational
PIK34,Thyroid Cancer,2.8,2.25,0.749,0.642,0.264,0.47,0,0,computationally_derived,CARVanta-Computed,computational
PIK34,Colorectal Cancer,1.43,1.26,0.743,0.62,0.155,0.634,0,0,computationally_derived,CARVanta-Computed,computational
PIK35,Head & Neck Cancer,1.95,0.84,0.598,0.737,0.601,0.479,0,0,computationally_derived,CARVanta-Computed,computational
PIK35,Gastric Cancer,3.44,1.3,0.882,0.777,0.79,0.256,0,0,computationally_derived,CARVanta-Computed,computational
PIK35,Breast Cancer,2.82,1.91,0.713,0.753,0.268,0.291,0,0,computationally_derived,CARVanta-Computed,computational
PIK35,Myeloma,10.25,1.45,0.673,0.541,0.698,0.524,0,0,computationally_derived,CARVanta-Computed,computational
PIK35,Liver Cancer,2.3,11.52,0.91,0.724,0.351,0.629,0,0,computationally_derived,CARVanta-Computed,computational
PIK36,Prostate Cancer,11.31,1.92,0.809,0.664,0.598,0.386,0,1,computationally_derived,CARVanta-Computed,computational
PIK36,Thyroid Cancer,3.09,2.3,0.768,0.749,0.488,0.726,0,0,computationally_derived,CARVanta-Computed,computational
PIK36,Liver Cancer,4.27,2.71,0.928,0.615,0.629,0.397,1,0,computationally_derived,CARVanta-Computed,computational
PIK36,Leukemia,2.75,1.85,0.834,0.326,0.254,0.269,0,0,computationally_derived,CARVanta-Computed,computational
PIK36,Melanoma,3.91,0.66,0.858,0.609,0.936,0.499,0,1,computationally_derived,CARVanta-Computed,computational
PIK36,Lymphoma,3.26,5.97,0.832,0.819,0.283,0.197,0,0,computationally_derived,CARVanta-Computed,computational
PIK36,Bladder Cancer,8.74,0.46,0.86,0.848,0.806,0.526,0,1,computationally_derived,CARVanta-Computed,computational
PIK36,Pancreatic Cancer,2.53,1.16,0.759,0.701,0.317,0.574,3,0,computationally_derived,CARVanta-Computed,computational
PIK37,Lung Adenocarcinoma,3.34,2.54,0.896,0.613,0.414,0.783,0,0,computationally_derived,CARVanta-Computed,computational
PIK37,Thyroid Cancer,7.47,1.58,0.83,0.796,0.645,0.565,1,1,computationally_derived,CARVanta-Computed,computational
PIK37,Ovarian Cancer,3.95,5.15,0.805,0.738,0.344,0.348,4,0,computationally_derived,CARVanta-Computed,computational
PIK37,Bladder Cancer,4.35,1.7,0.802,0.594,0.371,0.821,0,0,computationally_derived,CARVanta-Computed,computational
PIK37,Leukemia,4.07,1.21,0.857,0.789,0.625,0.436,0,1,computationally_derived,CARVanta-Computed,computational
PIK37,Pancreatic Cancer,4.52,0.38,0.619,0.54,0.798,0.62,2,0,computationally_derived,CARVanta-Computed,computational
PIK38,Leukemia,4.53,0.69,0.949,0.497,0.569,0.357,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Gastric Cancer,1.75,1.56,0.896,0.712,0.292,0.806,3,0,computationally_derived,CARVanta-Computed,computational
PIK38,Liver Cancer,2.3,1.71,0.812,0.777,0.234,0.478,4,0,computationally_derived,CARVanta-Computed,computational
PIK38,Breast Cancer,1.28,2.62,0.865,0.595,0.543,0.508,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Prostate Cancer,2.36,1.31,0.915,0.903,0.611,0.395,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Myeloma,3.7,1.15,0.747,0.441,0.598,0.487,1,0,computationally_derived,CARVanta-Computed,computational
PIK38,Lymphoma,14.79,0.54,0.693,0.447,0.841,0.266,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Thyroid Cancer,1.8,1.49,0.702,0.79,0.227,0.8,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Pancreatic Cancer,10.12,1.09,0.933,0.585,0.834,0.733,0,0,computationally_derived,CARVanta-Computed,computational
PIK38,Glioblastoma,7.43,6.99,0.692,0.485,0.115,0.694,2,0,computationally_derived,CARVanta-Computed,computational
PIK39,Lymphoma,4.32,2.15,0.963,0.68,0.464,0.421,0,0,computationally_derived,CARVanta-Computed,computational
PIK39,Melanoma,2.52,0.55,0.974,0.603,0.48,0.755,30,1,computationally_derived,CARVanta-Computed,computational
PIK39,Leukemia,2.68,2.04,0.913,0.434,0.296,0.334,0,0,computationally_derived,CARVanta-Computed,computational
PIK39,Myeloma,1.99,0.84,0.587,0.682,0.425,0.461,22,0,computationally_derived,CARVanta-Computed,computational
PIK39,Endometrial Cancer,1.07,0.67,0.908,0.458,0.475,0.249,0,0,computationally_derived,CARVanta-Computed,computational
PIK39,Colorectal Cancer,5.84,4.19,0.683,0.483,0.354,0.398,35,0,computationally_derived,CARVanta-Computed,computational
PIK39,Head & Neck Cancer,3.24,1.01,0.856,0.698,0.625,0.477,0,1,computationally_derived,CARVanta-Computed,computational
PIK39,Glioblastoma,5.35,3.02,0.637,0.555,0.394,0.43,0,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Bladder Cancer,8.12,1.98,0.914,0.728,0.449,0.628,0,1,computationally_derived,CARVanta-Computed,computational
PIK3CA,Lymphoma,1.98,0.81,0.838,0.464,0.394,0.505,0,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Leukemia,2.71,1.18,0.804,0.663,0.278,0.192,0,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Liver Cancer,1.36,1.11,0.63,0.565,0.337,0.349,32,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Pancreatic Cancer,4.26,0.53,0.838,0.635,0.607,0.412,0,1,computationally_derived,CARVanta-Computed,computational
PIK3CA,Melanoma,3.24,3.31,0.956,0.57,0.325,0.513,0,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Glioblastoma,1.87,2.03,0.517,0.764,0.382,0.355,6,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Colorectal Cancer,2.14,0.84,0.962,0.486,0.536,0.45,0,0,computationally_derived,CARVanta-Computed,computational
PIK3CA,Endometrial Cancer,1.09,0.62,0.783,0.878,0.739,0.391,0,0,computationally_derived,CARVanta-Computed,computational
PKM1,Breast Cancer,3.13,2.18,0.788,0.551,0.238,0.484,0,0,computationally_derived,CARVanta-Computed,computational
PKM1,Pancreatic Cancer,2.37,1.8,0.771,0.507,0.262,0.679,0,0,computationally_derived,CARVanta-Computed,computational
PKM1,Lung Adenocarcinoma,1.28,2.41,0.918,0.545,0.112,0.436,0,0,computationally_derived,CARVanta-Computed,computational
PKM1,Melanoma,3.45,2.25,0.77,0.814,0.317,0.325,11,0,computationally_derived,CARVanta-Computed,computational
PKM1,Ovarian Cancer,3.54,2.66,0.929,0.473,0.174,0.571,0,0,computationally_derived,CARVanta-Computed,computational
PKM1,Bladder Cancer,6.26,0.56,0.927,0.468,0.693,0.252,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Glioblastoma,2.04,1.76,0.87,0.395,0.406,0.748,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Leukemia,3.89,1.59,0.859,0.737,0.512,0.253,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Liver Cancer,5.18,1.44,0.731,0.362,0.782,0.173,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Colorectal Cancer,6.25,1.25,0.721,0.504,0.628,0.555,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Myeloma,3.35,6.16,0.847,0.794,0.209,0.537,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Ovarian Cancer,3.34,3.17,0.905,0.38,0.284,0.131,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Pancreatic Cancer,1.88,1.34,0.834,0.582,0.566,0.485,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Head & Neck Cancer,2.06,1.43,0.901,0.491,0.096,0.644,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Breast Cancer,3.29,1.13,0.904,0.583,0.325,0.531,0,0,computationally_derived,CARVanta-Computed,computational
PKM2,Melanoma,4.57,0.72,0.859,0.454,0.871,0.281,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Melanoma,2.32,8.18,0.597,0.682,0.343,0.751,3,0,computationally_derived,CARVanta-Computed,computational
PKM3,Lymphoma,3.86,0.98,0.625,0.438,0.565,0.409,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Glioblastoma,4.94,1.59,0.747,0.573,0.671,0.593,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Bladder Cancer,4.76,1.73,0.811,0.801,0.474,0.459,18,1,computationally_derived,CARVanta-Computed,computational
PKM3,Breast Cancer,1.83,0.56,0.63,0.464,0.801,0.396,3,0,computationally_derived,CARVanta-Computed,computational
PKM3,Gastric Cancer,3.75,1.23,0.915,0.631,0.437,0.407,0,1,computationally_derived,CARVanta-Computed,computational
PKM3,Prostate Cancer,6.37,1.76,0.614,0.599,0.711,0.647,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Liver Cancer,4.7,3.51,0.91,0.684,0.295,0.464,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Leukemia,5.64,2.48,0.874,0.641,0.557,0.563,0,0,computationally_derived,CARVanta-Computed,computational
PKM3,Ovarian Cancer,11.95,1.13,0.698,0.664,0.502,0.47,0,0,computationally_derived,CARVanta-Computed,computational
PKM4,Myeloma,4.0,2.65,0.783,0.519,0.452,0.51,0,0,computationally_derived,CARVanta-Computed,computational
PKM4,Endometrial Cancer,2.89,0.5,0.884,0.733,0.52,0.391,3,1,computationally_derived,CARVanta-Computed,computational
PKM4,Prostate Cancer,2.48,0.72,0.892,0.753,0.612,0.366,3,1,computationally_derived,CARVanta-Computed,computational
PKM4,Head & Neck Cancer,5.54,7.77,0.785,0.545,0.251,0.36,13,0,computationally_derived,CARVanta-Computed,computational
PKM4,Melanoma,2.61,0.77,0.896,0.707,0.646,0.229,0,0,computationally_derived,CARVanta-Computed,computational
PKM4,Leukemia,1.58,1.56,0.834,0.57,0.12,0.591,1,0,computationally_derived,CARVanta-Computed,computational
PKM4,Bladder Cancer,5.73,2.85,0.795,0.747,0.487,0.412,14,0,computationally_derived,CARVanta-Computed,computational
PKM5,Thyroid Cancer,3.7,0.91,0.827,0.576,0.426,0.486,0,0,computationally_derived,CARVanta-Computed,computational
PKM5,Renal Cancer,4.09,1.2,0.804,0.531,0.737,0.478,0,0,computationally_derived,CARVanta-Computed,computational
PKM5,Ovarian Cancer,1.28,1.0,0.944,0.548,0.432,0.661,0,0,computationally_derived,CARVanta-Computed,computational
PKM5,Pancreatic Cancer,1.72,0.58,0.771,0.718,0.733,0.563,0,1,computationally_derived,CARVanta-Computed,computational
PKM5,Glioblastoma,3.1,1.12,0.682,0.825,0.647,0.575,0,0,computationally_derived,CARVanta-Computed,computational
PKM5,Liver Cancer,5.35,3.08,0.887,0.36,0.378,0.258,0,0,computationally_derived,CARVanta-Computed,computational
PKM6,Myeloma,13.02,3.94,0.849,0.655,0.479,0.543,0,1,computationally_derived,CARVanta-Computed,computational
PKM6,Endometrial Cancer,1.46,1.98,0.964,0.631,0.444,0.669,0,0,computationally_derived,CARVanta-Computed,computational
PKM6,Bladder Cancer,3.15,6.94,0.899,0.343,0.274,0.637,4,0,computationally_derived,CARVanta-Computed,computational
PKM6,Leukemia,5.15,3.14,0.467,0.751,0.475,0.581,2,0,computationally_derived,CARVanta-Computed,computational
PKM6,Liver Cancer,3.43,1.22,0.988,0.754,0.601,0.528,0,1,computationally_derived,CARVanta-Computed,computational
PLA2G1,Renal Cancer,1.89,2.2,0.671,0.835,0.056,0.537,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Myeloma,9.5,1.49,0.813,0.539,0.81,0.607,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Glioblastoma,9.66,2.5,0.876,0.573,0.768,0.433,4,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Endometrial Cancer,2.55,2.75,0.919,0.734,0.144,0.605,4,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Leukemia,2.59,0.51,0.834,0.648,0.346,0.235,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Gastric Cancer,2.58,1.45,0.747,0.679,0.592,0.259,3,0,computationally_derived,CARVanta-Computed,computational
PLA2G1,Melanoma,6.92,0.45,0.717,0.454,0.568,0.327,3,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Leukemia,4.72,4.78,0.769,0.573,0.175,0.493,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Bladder Cancer,1.59,8.4,0.598,0.881,0.354,0.529,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Lymphoma,4.11,0.7,0.984,0.74,0.638,0.418,2,1,computationally_derived,CARVanta-Computed,computational
PLA2G10,Prostate Cancer,1.92,2.61,0.878,0.497,0.308,0.482,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Glioblastoma,2.76,0.95,0.855,0.801,0.523,0.584,8,1,computationally_derived,CARVanta-Computed,computational
PLA2G10,Endometrial Cancer,6.18,2.15,0.774,0.39,0.604,0.319,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Liver Cancer,4.94,1.69,0.739,0.608,0.731,0.543,9,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Breast Cancer,2.6,1.76,0.954,0.447,0.223,0.638,7,0,computationally_derived,CARVanta-Computed,computational
PLA2G10,Lung Adenocarcinoma,7.14,0.95,0.769,0.775,0.747,0.354,0,1,computationally_derived,CARVanta-Computed,computational
PLA2G10,Colorectal Cancer,3.54,0.63,0.764,0.828,0.749,0.295,11,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Head & Neck Cancer,3.5,1.41,0.793,0.467,0.465,0.336,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Leukemia,6.31,1.76,0.849,0.399,0.548,0.711,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Glioblastoma,2.71,1.0,0.729,0.43,0.374,0.491,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Ovarian Cancer,5.44,1.0,0.891,0.57,0.841,0.557,5,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Lymphoma,3.73,0.6,0.781,0.566,0.752,0.498,12,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Bladder Cancer,1.79,1.04,0.679,0.583,0.386,0.282,5,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Endometrial Cancer,5.17,0.6,0.848,0.413,0.772,0.703,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10A,Colorectal Cancer,1.62,1.51,0.48,0.656,0.148,0.703,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Lung Adenocarcinoma,1.73,2.64,0.805,0.624,0.116,0.664,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Leukemia,3.19,1.01,0.85,0.607,0.709,0.184,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Pancreatic Cancer,2.7,3.05,0.731,0.848,0.396,0.46,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Thyroid Cancer,3.06,1.28,0.928,0.652,0.368,0.602,0,1,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Myeloma,2.01,0.42,0.873,0.409,0.436,0.356,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Gastric Cancer,2.15,1.66,0.802,0.366,0.286,0.445,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Ovarian Cancer,2.64,3.11,0.928,0.649,0.335,0.689,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Renal Cancer,3.95,1.0,0.883,0.559,0.518,0.369,0,0,computationally_derived,CARVanta-Computed,computational
PLA2G10B,Breast Cancer,10.9,0.79,0.898,0.736,0.613,0.577,31,1,computationally_derived,CARVanta-Computed,computational
