antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level,biomarker_category,analyte_type,regulation,source_group
miR-155,Pancreatic (PDAC),7.27,1.18,0.755,0.653,0.578,0.278,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
miR-212,Pancreatic (PDAC),9.48,0.45,0.912,0.947,0.946,0.376,1,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
miR-1247,Pancreatic (PDAC),7.9,1.06,0.887,0.737,0.683,0.361,5,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Biliary
miR-200a,Pancreatic (PDAC),1.22,7.31,0.566,0.662,0.591,0.16,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Biliary
miR-200b,Pancreatic (PDAC),1.84,4.59,0.873,0.776,0.732,0.352,1,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Biliary
Adnab-9,Pancreatic (PDAC),8.01,0.59,0.733,0.751,0.702,0.688,2,1,real,Literature,preclinical,Protein,Protein,up,Faecal
miR-181b,Pancreatic (PDAC),7.54,0.71,0.724,0.689,0.623,0.259,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Faecal
miR-210,Pancreatic (PDAC),8.78,2.1,0.854,0.854,0.829,0.34,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Faecal
miR-155,Pancreatic (PDAC),7.27,1.18,0.755,0.653,0.578,0.278,6,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Faecal
miR-216a,Pancreatic (PDAC),6.53,1.99,0.694,0.554,0.454,0.24,11,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Faecal
miR-196a,Pancreatic (PDAC),6.77,2.08,0.819,0.586,0.495,0.318,12,1,real,Literature,preclinical,RNA (miRNA),miRNA,up,Faecal
miR-143,Pancreatic (PDAC),2.56,5.21,0.676,0.906,0.895,0.229,3,1,real,Literature,preclinical,RNA (miRNA),miRNA,down,Faecal
Mutant KRAS,Pancreatic (PDAC),8.59,1.4,0.561,0.829,0.799,0.409,7,1,real,Literature,preclinical,Liquid biopsy,Protein,up,Faecal
mBMP3,Pancreatic (PDAC),8.22,1.24,0.712,0.779,0.736,0.251,6,1,real,Literature,preclinical,Liquid biopsy (methylated DNA),ctDNA / DNA,up,Faecal
RB1,Pancreatic (PDAC),1.58,6.36,0.752,0.727,0.672,0.276,8,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
MDC1,Pancreatic (PDAC),1.3,5.43,0.933,0.678,0.61,0.389,4,1,real,Literature,preclinical,DNA damage response,ctDNA / DNA,down,Structural Variant Gene
SMARCB1,Pancreatic (PDAC),2.2,5.82,0.785,0.84,0.813,0.297,6,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
RPLP0P2,Pancreatic (PDAC),4.51,4.61,0.798,0.384,0.786,0.305,1,0,computationally_derived,Synthetic,predicted,Pseudogene (Not biomarker),Gene,neutral,Structural Variant Gene
KEAP1,Pancreatic (PDAC),8.53,0.56,0.674,0.821,0.788,0.228,2,1,real,Literature,preclinical,Oxidative stress regulator,Gene,up,Structural Variant Gene
TESK2,Pancreatic (PDAC),3.53,4.01,0.664,0.254,0.461,0.221,1,0,computationally_derived,Synthetic,predicted,Kinase (Not validated),Gene,neutral,Structural Variant Gene
SLC4A4,Pancreatic (PDAC),3.89,3.65,0.877,0.301,0.578,0.354,0,0,computationally_derived,Synthetic,predicted,Transporter (Not validated),Gene,neutral,Structural Variant Gene
RPS6KA4,Pancreatic (PDAC),7.11,1.51,0.763,0.632,0.552,0.283,8,1,real,Literature,preclinical,Oncogenic kinase,Gene,up,Structural Variant Gene
GJA1,Pancreatic (PDAC),4.74,4.48,0.734,0.415,0.863,0.265,0,0,computationally_derived,Synthetic,predicted,Gap junction protein (not biomarker),Gene,neutral,Structural Variant Gene
TFG,Pancreatic (PDAC),9.43,1.1,0.696,0.941,0.939,0.241,5,1,real,Literature,preclinical,Oncogenic fusion protein,Gene,up,Structural Variant Gene
RPS19,Pancreatic (PDAC),3.97,3.68,0.682,0.313,0.607,0.233,0,0,computationally_derived,Synthetic,predicted,Ribosomal protein (not biomarker),Gene,neutral,Structural Variant Gene
PPP2R1A,Pancreatic (PDAC),1.26,6.22,0.585,0.67,0.6,0.172,7,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
CHEK1,Pancreatic (PDAC),7.91,2.03,0.843,0.738,0.685,0.333,11,1,real,Literature,preclinical,DNA damage checkpoint,ctDNA / DNA,up,Structural Variant Gene
AKT3,Pancreatic (PDAC),6.66,2.16,0.898,0.572,0.477,0.367,12,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
TRIM24,Pancreatic (PDAC),9.02,0.63,0.709,0.886,0.87,0.25,2,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
AKT1,Pancreatic (PDAC),9.22,0.61,0.924,0.913,0.903,0.384,2,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
SOX9,Pancreatic (PDAC),7.55,1.26,0.646,0.689,0.624,0.21,6,1,real,Literature,preclinical,Developmental oncogene,Gene,up,Structural Variant Gene
B2M,Pancreatic (PDAC),7.58,1.79,0.583,0.693,0.629,0.171,10,1,real,Literature,preclinical,"Immune regulator, cancer progression",Gene,up,Structural Variant Gene
TP63,Pancreatic (PDAC),7.25,1.34,0.934,0.65,0.576,0.39,7,1,real,Literature,preclinical,p53 family oncogene,Gene,up,Structural Variant Gene
ICOSLG,Pancreatic (PDAC),7.96,1.84,0.587,0.745,0.693,0.173,10,1,real,Literature,preclinical,Immune checkpoint,Gene,up,Structural Variant Gene
UNC13C,Pancreatic (PDAC),3.62,3.5,0.66,0.266,0.491,0.219,0,0,computationally_derived,Synthetic,predicted,Synaptic vesicle priming (Not biomarker),Gene,neutral,Structural Variant Gene
ZNF284,Pancreatic (PDAC),3.63,3.54,0.727,0.268,0.495,0.26,0,0,computationally_derived,Synthetic,predicted,Transcription factor (Not validated),Gene,neutral,Structural Variant Gene
P3H2,Pancreatic (PDAC),3.85,3.62,0.744,0.296,0.565,0.271,0,0,computationally_derived,Synthetic,predicted,Hydroxylase (Not validated),Gene,neutral,Structural Variant Gene
RECQL,Pancreatic (PDAC),0.86,4.76,0.771,0.598,0.51,0.288,2,1,real,Literature,preclinical,"DNA repair, tumor suppressor",ctDNA / DNA,down,Structural Variant Gene
DDX10,Pancreatic (PDAC),8.17,2.02,0.725,0.773,0.728,0.259,11,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
SND1,Pancreatic (PDAC),9.16,0.45,0.84,0.905,0.894,0.331,1,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
NUP93,Pancreatic (PDAC),6.95,1.74,0.65,0.611,0.526,0.213,9,1,real,Literature,preclinical,Nuclear pore protein (oncogenic role),Gene,up,Structural Variant Gene
EML4,Pancreatic (PDAC),8.44,2.03,0.919,0.809,0.774,0.381,11,1,real,Literature,preclinical,Oncogenic fusion partner,Gene,up,Structural Variant Gene
INPP4B,Pancreatic (PDAC),1.91,7.41,0.753,0.788,0.747,0.277,12,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
SHTN1,Pancreatic (PDAC),4.16,4.42,0.904,0.338,0.669,0.371,1,0,computationally_derived,Synthetic,predicted,Axon guidance (Not biomarker),Gene,neutral,Structural Variant Gene
EWSR1,Pancreatic (PDAC),8.28,1.9,0.571,0.787,0.746,0.163,10,1,real,Literature,preclinical,Fusion oncogene,Gene,up,Structural Variant Gene
TP53,Pancreatic (PDAC),1.61,5.63,0.709,0.914,0.68,0.249,160,1,real,Literature,clinical,Tumor suppressor,Gene,down,Structural Variant Gene
MAOB,Pancreatic (PDAC),4.87,4.66,0.854,0.433,0.908,0.34,0,0,computationally_derived,Synthetic,predicted,Metabolic enzyme (Not biomarker),Gene,neutral,Structural Variant Gene
GIPR,Pancreatic (PDAC),4.55,4.76,0.663,0.39,0.8,0.851,1,0,computationally_derived,Synthetic,predicted,GPCR (Not biomarker),Gene,neutral,Structural Variant Gene
AIRE,Pancreatic (PDAC),4.33,4.29,0.582,0.361,0.727,0.17,0,0,computationally_derived,Synthetic,predicted,Immune regulator (Not biomarker),Gene,neutral,Structural Variant Gene
AGAP1,Pancreatic (PDAC),4.31,4.23,0.636,0.358,0.719,0.204,0,0,computationally_derived,Synthetic,predicted,GTPase regulator (Not biomarker),Gene,neutral,Structural Variant Gene
PIK3R1,Pancreatic (PDAC),7.73,1.86,0.774,0.714,0.655,0.29,10,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
CBARP,Pancreatic (PDAC),4.76,5.09,0.904,0.418,0.87,0.371,1,0,computationally_derived,Synthetic,predicted,Calcium-binding protein (Not biomarker),Gene,neutral,Structural Variant Gene
CD79A,Pancreatic (PDAC),7.45,2.15,0.757,0.677,0.609,0.279,12,1,real,Literature,preclinical,Immune signaling (oncogenic role),Gene,up,Structural Variant Gene
BRIP1,Pancreatic (PDAC),1.65,5.68,0.764,0.741,0.688,0.283,5,1,real,Literature,preclinical,"DNA repair, tumor suppressor",ctDNA / DNA,down,Structural Variant Gene
HMGXB4,Pancreatic (PDAC),4.67,4.52,0.672,0.406,0.841,0.226,0,0,computationally_derived,Synthetic,predicted,Transcription factor (not validated),Gene,neutral,Structural Variant Gene
TSPAN9,Pancreatic (PDAC),3.72,3.24,0.832,0.279,0.522,0.927,0,0,computationally_derived,Synthetic,predicted,Membrane protein (not validated),Gene,neutral,Structural Variant Gene
RAD21,Pancreatic (PDAC),8.04,0.48,0.721,0.756,0.707,0.257,1,1,real,Literature,preclinical,DNA repair/oncogene,ctDNA / DNA,up,Structural Variant Gene
AGMO,Pancreatic (PDAC),4.26,4.6,0.925,0.352,0.704,0.384,1,0,computationally_derived,Synthetic,predicted,Metabolic enzyme (not biomarker),Gene,neutral,Structural Variant Gene
H3C3,Pancreatic (PDAC),7.86,1.62,0.639,0.732,0.677,0.205,9,1,real,Literature,preclinical,Chromatin modifier (oncogenic),Gene,up,Structural Variant Gene
H3C4,Pancreatic (PDAC),9.24,0.82,0.799,0.915,0.906,0.306,3,1,real,Literature,preclinical,Chromatin modifier (oncogenic),Gene,up,Structural Variant Gene
H3C6,Pancreatic (PDAC),8.49,1.51,0.747,0.815,0.782,0.273,8,1,real,Literature,preclinical,Chromatin modifier (oncogenic),Gene,up,Structural Variant Gene
ZRSR2,Pancreatic (PDAC),2.62,5.92,0.609,0.917,0.909,0.187,6,1,real,Literature,preclinical,"Splicing factor, tumor suppressor",Gene,down,Structural Variant Gene
INSR,Pancreatic (PDAC),7.22,1.83,0.579,0.646,0.57,0.168,10,1,real,Literature,preclinical,Growth signaling oncogene,Gene,up,Structural Variant Gene
BRAF,Pancreatic (PDAC),7.07,1.35,0.898,0.626,0.546,0.368,7,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
GRIN2B,Pancreatic (PDAC),4.33,4.59,0.94,0.361,0.727,0.975,1,0,computationally_derived,Synthetic,predicted,Receptor (not biomarker),Gene,neutral,Structural Variant Gene
UBAC1,Pancreatic (PDAC),4.97,5.18,0.614,0.446,0.94,0.19,1,0,computationally_derived,Synthetic,predicted,Ubiquitin pathway (not biomarker),Gene,neutral,Structural Variant Gene
SMARCA4,Pancreatic (PDAC),1.28,6.43,0.596,0.673,0.604,0.179,8,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
ZZZ3,Pancreatic (PDAC),4.85,4.93,0.612,0.43,0.9,0.188,1,0,computationally_derived,Synthetic,predicted,Transcription regulator (not biomarker),Gene,neutral,Structural Variant Gene
FUBP1,Pancreatic (PDAC),6.82,1.54,0.627,0.593,0.503,0.198,8,1,real,Literature,preclinical,Oncogene/transcription factor,Gene,up,Structural Variant Gene
FAT1,Pancreatic (PDAC),1.56,6.55,0.673,0.724,0.667,0.227,9,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
ATM,Pancreatic (PDAC),1.21,6.86,0.828,0.889,0.589,0.324,55,1,real,Literature,clinical,"DNA damage checkpoint, tumor suppressor",ctDNA / DNA,down,Structural Variant Gene
CTRC,Pancreatic (PDAC),3.76,4.11,0.683,0.285,0.538,0.233,1,0,computationally_derived,Synthetic,predicted,Protease (not biomarker),Gene,neutral,Structural Variant Gene
BAP1,Pancreatic (PDAC),1.88,5.27,0.905,0.783,0.741,0.372,4,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
ATR,Pancreatic (PDAC),1.22,6.52,0.812,0.663,0.592,0.314,9,1,real,Literature,preclinical,DNA damage checkpoint,ctDNA / DNA,down,Structural Variant Gene
EZH2,Pancreatic (PDAC),9.15,1.17,0.787,0.903,0.892,0.298,6,1,real,Literature,preclinical,Epigenetic oncogene,Gene,up,Structural Variant Gene
PTPRT,Pancreatic (PDAC),2.57,6.17,0.9,0.908,0.898,0.369,7,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
RET,Pancreatic (PDAC),6.7,1.77,0.835,0.576,0.483,0.328,10,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
C2CD2,Pancreatic (PDAC),4.17,3.77,0.667,0.339,0.674,0.223,0,0,computationally_derived,Synthetic,predicted,Unknown role (not biomarker),Gene,neutral,Structural Variant Gene
BRCA1,Pancreatic (PDAC),0.81,7.38,0.659,0.863,0.498,0.218,110,1,real,Literature,clinical,Tumor suppressor,Gene,down,Structural Variant Gene
KRI1,Pancreatic (PDAC),3.98,4.13,0.79,0.314,0.61,0.3,1,0,computationally_derived,Synthetic,predicted,Ribosome biogenesis (not biomarker),Gene,neutral,Structural Variant Gene
GLI1,Pancreatic (PDAC),9.34,0.49,0.903,0.929,0.924,0.371,1,1,real,Literature,preclinical,Hedgehog pathway oncogene,Gene,up,Structural Variant Gene
PHF7,Pancreatic (PDAC),4.79,4.31,0.708,0.422,0.881,0.249,0,0,computationally_derived,Synthetic,predicted,Transcription regulator (not biomarker),Gene,neutral,Structural Variant Gene
BRCA2,Pancreatic (PDAC),1.94,5.9,0.679,0.935,0.755,0.23,120,1,real,Literature,clinical,Tumor suppressor,Gene,down,Structural Variant Gene
BABAM1,Pancreatic (PDAC),0.97,6.84,0.573,0.618,0.535,0.164,10,1,real,Literature,preclinical,DNA repair/tumor suppressor,ctDNA / DNA,down,Structural Variant Gene
DNER,Pancreatic (PDAC),3.7,3.61,0.697,0.276,0.516,0.242,0,0,computationally_derived,Synthetic,predicted,Signaling protein (not biomarker),Gene,neutral,Structural Variant Gene
RAC2,Pancreatic (PDAC),7.35,1.57,0.949,0.663,0.592,0.399,8,1,real,Literature,preclinical,Oncogenic GTPase,Gene,up,Structural Variant Gene
KIF13B,Pancreatic (PDAC),3.95,3.55,0.886,0.31,0.6,0.36,0,0,computationally_derived,Synthetic,predicted,Motor protein (not biomarker),Gene,neutral,Structural Variant Gene
CIC,Pancreatic (PDAC),1.79,5.62,0.635,0.767,0.721,0.203,5,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
JAK3,Pancreatic (PDAC),9.22,1.84,0.946,0.912,0.903,0.398,10,1,real,Literature,preclinical,Oncogenic tyrosine kinase,Gene,up,Structural Variant Gene
SPMIP11,Pancreatic (PDAC),4.79,4.52,0.624,0.422,0.88,0.196,0,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
DUSP4,Pancreatic (PDAC),1.69,4.65,0.715,0.749,0.698,0.253,1,1,real,Literature,preclinical,Tumor suppressor/regulator,Gene,down,Structural Variant Gene
UPF1,Pancreatic (PDAC),1.76,6.51,0.785,0.761,0.713,0.297,9,1,real,Literature,preclinical,"RNA surveillance, tumor suppressor",Gene,down,Structural Variant Gene
PBRM1,Pancreatic (PDAC),1.72,6.47,0.803,0.754,0.705,0.308,8,1,real,Literature,preclinical,Tumor suppressor (SWI/SNF complex),Gene,down,Structural Variant Gene
IFNGR1,Pancreatic (PDAC),1.59,5.4,0.899,0.729,0.674,0.368,4,1,real,Literature,preclinical,"Immune signaling, tumor suppressor role",Gene,down,Structural Variant Gene
NCOA3,Pancreatic (PDAC),7.02,0.86,0.808,0.619,0.537,0.311,4,1,real,Literature,preclinical,Oncogenic coactivator,Gene,up,Structural Variant Gene
NCOA4,Pancreatic (PDAC),7.66,2.16,0.819,0.705,0.644,0.318,12,1,real,Literature,preclinical,"Autophagy adaptor, oncogenic",Gene,up,Structural Variant Gene
TET1,Pancreatic (PDAC),1.68,5.86,0.895,0.747,0.696,0.366,6,1,real,Literature,preclinical,"DNA demethylase, tumor suppressor",ctDNA / DNA,down,Structural Variant Gene
RAD51B,Pancreatic (PDAC),1.6,6.17,0.908,0.733,0.678,0.374,7,1,real,Literature,preclinical,"DNA repair, tumor suppressor",ctDNA / DNA,down,Structural Variant Gene
ANKFN1,Pancreatic (PDAC),4.25,4.01,0.703,0.35,0.7,0.246,0,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
AEBP2,Pancreatic (PDAC),4.96,4.92,0.845,0.444,0.936,0.334,0,0,computationally_derived,Synthetic,predicted,Transcriptional repressor (not validated),Gene,neutral,Structural Variant Gene
SDHAF2,Pancreatic (PDAC),1.79,6.61,0.823,0.767,0.721,0.321,9,1,real,Literature,preclinical,Tumor suppressor (metabolism),Gene,down,Structural Variant Gene
CSDE1,Pancreatic (PDAC),7.01,1.16,0.615,0.618,0.535,0.19,6,1,real,Literature,preclinical,RNA-binding oncogene,Gene,up,Structural Variant Gene
RARA,Pancreatic (PDAC),6.69,1.42,0.869,0.575,0.481,0.943,7,1,real,Literature,preclinical,"Nuclear receptor, oncogenic role",Gene,up,Structural Variant Gene
PDZRN3,Pancreatic (PDAC),4.09,4.1,0.651,0.329,0.648,0.213,1,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
CD44,Pancreatic (PDAC),9.05,2.12,0.564,0.891,0.876,0.806,12,1,real,Literature,preclinical,"Stemness/cell adhesion, oncogene",Gene,up,Structural Variant Gene
AMER1,Pancreatic (PDAC),1.46,5.15,0.942,0.707,0.646,0.395,3,1,real,Literature,preclinical,Tumor suppressor (Wnt pathway),Gene,down,Structural Variant Gene
PRKN,Pancreatic (PDAC),2.03,4.59,0.826,0.81,0.775,0.322,1,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
KANK1,Pancreatic (PDAC),3.81,3.32,0.816,0.291,0.552,0.316,0,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
LIN37,Pancreatic (PDAC),4.53,4.9,0.693,0.387,0.793,0.239,1,0,computationally_derived,Synthetic,predicted,Cell cycle regulator (not validated),Gene,neutral,Structural Variant Gene
DOT1L,Pancreatic (PDAC),7.47,1.99,0.896,0.679,0.611,0.366,11,1,real,Literature,preclinical,Oncogenic epigenetic regulator,Gene,up,Structural Variant Gene
GREB1L,Pancreatic (PDAC),4.46,4.67,0.565,0.378,0.771,0.159,1,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
TMPRSS2,Pancreatic (PDAC),7.33,1.73,0.735,0.66,0.588,0.266,9,1,real,Literature,preclinical,Oncogene (fusion driver),Gene,up,Structural Variant Gene
ADCY1,Pancreatic (PDAC),3.94,4.02,0.894,0.309,0.597,0.365,1,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
CENPA,Pancreatic (PDAC),7.28,1.66,0.84,0.653,0.579,0.331,9,1,real,Literature,preclinical,Chromatin/centromere oncogene,Gene,up,Structural Variant Gene
ADCY6,Pancreatic (PDAC),4.69,5.08,0.552,0.409,0.848,0.151,1,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
EGFR,Pancreatic (PDAC),6.79,1.95,0.584,0.864,0.498,0.171,70,1,real,Literature,clinical,Oncogene,Gene,up,Structural Variant Gene
RECQL4,Pancreatic (PDAC),0.85,5.93,0.641,0.595,0.506,0.207,6,1,real,Literature,preclinical,DNA repair/tumor suppressor,ctDNA / DNA,down,Structural Variant Gene
NSD3,Pancreatic (PDAC),9.47,1.85,0.738,0.946,0.946,0.267,10,1,real,Literature,preclinical,Oncogenic histone methyltransferase,Gene,up,Structural Variant Gene
SLX4,Pancreatic (PDAC),1.86,5.12,0.755,0.78,0.737,0.278,3,1,real,Literature,preclinical,DNA repair tumor suppressor,ctDNA / DNA,down,Structural Variant Gene
NSD1,Pancreatic (PDAC),9.43,1.72,0.557,0.941,0.938,0.154,9,1,real,Literature,preclinical,Oncogenic histone methyltransferase,Gene,up,Structural Variant Gene
NSD2,Pancreatic (PDAC),8.34,1.79,0.792,0.795,0.756,0.301,10,1,real,Literature,preclinical,Oncogenic histone methyltransferase,Gene,up,Structural Variant Gene
RICTOR,Pancreatic (PDAC),9.04,1.04,0.817,0.888,0.873,0.317,5,1,real,Literature,preclinical,Oncogene (mTOR pathway),Gene,up,Structural Variant Gene
MGAT1,Pancreatic (PDAC),4.67,4.6,0.908,0.406,0.84,0.374,0,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
LDLR,Pancreatic (PDAC),3.51,3.3,0.58,0.251,0.454,0.813,0,0,computationally_derived,Synthetic,predicted,Metabolic receptor (not biomarker),Gene,neutral,Structural Variant Gene
MON2,Pancreatic (PDAC),4.31,4.02,0.9,0.358,0.72,0.368,0,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
CDKN2B,Pancreatic (PDAC),0.73,5.04,0.588,0.573,0.479,0.174,3,1,real,Literature,preclinical,Tumor suppressor,Gene,down,Structural Variant Gene
NPM1,Pancreatic (PDAC),9.49,1.17,0.585,0.949,0.949,0.172,6,1,real,Literature,preclinical,Oncogene (frequently mutated),Gene,up,Structural Variant Gene
CDKN2A,Pancreatic (PDAC),1.49,5.9,0.592,0.907,0.653,0.176,85,1,real,Literature,clinical,Tumor suppressor,Gene,down,Structural Variant Gene
CARD8,Pancreatic (PDAC),4.17,4.65,0.692,0.339,0.673,0.239,1,0,computationally_derived,Synthetic,predicted,Inflammasome regulator (not biomarker),Gene,neutral,Structural Variant Gene
CIMAP1D,Pancreatic (PDAC),4.55,4.82,0.628,0.39,0.799,0.199,1,0,computationally_derived,Synthetic,predicted,Not validated,Gene,neutral,Structural Variant Gene
STAT3,Pancreatic (PDAC),7.44,0.91,0.86,0.676,0.607,0.344,4,1,real,Literature,preclinical,Oncogenic transcription factor,Gene,up,Structural Variant Gene
VEGFA,Pancreatic (PDAC),9.06,1.59,0.895,0.891,0.877,0.365,8,1,real,Literature,preclinical,Angiogenesis oncogene,Gene,up,Structural Variant Gene
NFIA,Pancreatic (PDAC),4.04,4.52,0.915,0.322,0.629,0.378,1,0,computationally_derived,Synthetic,predicted,Transcription factor (not validated),Gene,neutral,Structural Variant Gene
AXL,Pancreatic (PDAC),8.75,1.3,0.846,0.85,0.825,0.335,7,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
GOPC,Pancreatic (PDAC),7.99,0.9,0.668,0.748,0.698,0.224,4,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
RIPOR2,Pancreatic (PDAC),0.84,5.18,0.933,0.594,0.505,0.389,3,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
IRS2,Pancreatic (PDAC),9.03,0.87,0.806,0.887,0.871,0.31,4,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
CEP128,Pancreatic (PDAC),2.06,6.03,0.596,0.815,0.781,0.179,7,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
STK11,Pancreatic (PDAC),9.03,1.8,0.585,0.888,0.872,0.172,10,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
ZNF83,Pancreatic (PDAC),1.95,6.92,0.904,0.796,0.758,0.371,10,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
CDH1,Pancreatic (PDAC),9.38,1.03,0.561,0.934,0.93,0.157,5,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
EP300,Pancreatic (PDAC),9.24,1.36,0.618,0.916,0.907,0.192,7,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
ARID2,Pancreatic (PDAC),8.93,0.88,0.571,0.874,0.855,0.163,4,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
ROS1,Pancreatic (PDAC),8.89,1.69,0.611,0.869,0.849,0.188,9,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
MEN1,Pancreatic (PDAC),6.85,1.49,0.895,0.597,0.509,0.365,8,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
LMO1,Pancreatic (PDAC),9.38,2.04,0.654,0.934,0.93,0.215,11,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
RNF43,Pancreatic (PDAC),8.31,1.68,0.803,0.792,0.752,0.308,9,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
SLC30A6,Pancreatic (PDAC),1.86,4.6,0.861,0.779,0.737,0.344,1,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
MAP2K4,Pancreatic (PDAC),8.53,1.88,0.892,0.82,0.788,0.364,10,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
MAP2K2,Pancreatic (PDAC),6.74,1.87,0.814,0.582,0.49,0.315,10,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
DGAT1,Pancreatic (PDAC),1.73,4.99,0.646,0.755,0.706,0.21,2,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
HGF,Pancreatic (PDAC),6.76,1.32,0.741,0.584,0.493,0.27,7,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
TAP2,Pancreatic (PDAC),6.6,2.1,0.929,0.563,0.466,0.387,12,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
ARID5B,Pancreatic (PDAC),6.66,1.12,0.95,0.572,0.477,0.4,5,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
TAP1,Pancreatic (PDAC),7.82,2.06,0.943,0.726,0.67,0.396,12,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
TSC2,Pancreatic (PDAC),7.09,1.36,0.767,0.629,0.549,0.286,7,1,real,Literature,preclinical,Tumor Suppressor,Gene,up,Structural Variant Gene
VRK3,Pancreatic (PDAC),0.66,4.53,0.742,0.561,0.463,0.27,1,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
ATP1B1,Pancreatic (PDAC),1.02,6.28,0.688,0.627,0.546,0.236,8,1,real,Literature,preclinical,Oncogene,Gene,down,Structural Variant Gene
FOXP1,Pancreatic (PDAC),7.16,0.82,0.636,0.638,0.56,0.203,3,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
MSH6,Pancreatic (PDAC),7.71,1.93,0.895,0.711,0.651,0.365,11,1,real,Literature,preclinical,DNA Repair/Tumor Suppressor,ctDNA / DNA,up,Structural Variant Gene
SRSF2,Pancreatic (PDAC),7.25,1.06,0.87,0.65,0.576,0.35,5,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
PGR,Pancreatic (PDAC),7.15,1.57,0.797,0.637,0.558,0.304,8,1,real,Literature,preclinical,Oncogene,Gene,up,Structural Variant Gene
